time_seconds,bus650_magnitude,bus650_angle,bus680_magnitude,bus680_angle,bus692_magnitude,bus692_angle
100.0,0.9999294447951378,-0.00018351358409599044,0.9891982524625855,-0.08588046617082573,0.9891982314761876,-0.0858804583915825
101.0,0.9999217439927885,-0.00018807245778732344,0.9865525273204786,-0.08914686707615137,0.9865525059564322,-0.08914685901575113
102.0,0.9999190285892868,-0.00018968254836384518,0.9856078403279881,-0.09031048022480236,0.9856078188305805,-0.09031047206686948
103.0,0.9999237306997443,-0.0001869025363726553,0.9872314534112114,-0.08830316196769723,0.9872314321447414,-0.08830315398048162
104.0,0.9999355816152721,-0.00017982135151945668,0.9913048559719366,-0.0832545719282008,0.9913048352880376,-0.08325456437132935
105.0,0.9999515783007271,-0.0001700087303219784,0.9968318720364104,-0.07639105989608677,0.9968318521398973,-0.07639105291817254
106.0,0.9999673121174983,-0.00016012988446536584,1.0023734388285241,-0.06985361055887887,1.0023734197038991,-0.06985360413424001
107.0,0.9999785542092369,-0.0001524549037433543,0.9996007289802098,-0.0655112181376723,0.9996007104882533,-0.06551121207691005
108.0,0.9999829837542044,-0.000149571772428796,1.0011319693820764,-0.0635575445847912,1.0011319511121428,-0.06355753868481956
109.0,0.9999804607666157,-0.0001512359785408228,1.0002525549192918,-0.06467586748540839,1.0002525365221124,-0.06467586149289314
110.0,0.9999731604070223,-0.00015593271449883877,0.9977173476979122,-0.06788286444638664,0.9977173289360677,-0.06788285818830962
111.0,0.9999647780514622,-0.00016125601758879986,0.9947949470660151,-0.07154115845591079,0.9947949278877826,-0.07154115189312626
112.0,0.9999592173714087,-0.00016477685438086068,0.9928514603328853,-0.07399020689809113,0.9928514408761026,-0.07399020013180545
113.0,0.999958927708772,-0.00016493289978248134,0.9927543454718724,-0.07410467381283649,0.9927543260016843,-0.07410466703644145
114.0,0.9999639262898196,-0.00016178342689641221,0.9944941210977295,-0.07191679526666556,0.9944941018772124,-0.07191678867302082
115.0,0.9999717737813953,-0.00015680797262132944,0.9972246108367907,-0.06848296407937915,0.9972245920076289,-0.06848295777156842
116.0,0.9999785817922664,-0.00015243144646680406,0.999613903652216,-0.06549676216938402,0.9996138851617996,-0.06549675610883966
117.0,0.9999805994819151,-0.0001511390395844043,1.0003173411175519,-0.06462333318647501,1.000317322726933,-0.06462332719939189
118.0,0.9999755833419817,-0.00015434269211052204,0.9985609495758695,-0.06680081973704981,0.9985609309368751,-0.06680081356706198
119.0,0.9999636862891335,-0.0001619496497513367,0.9944180962633761,-0.07202872744827445,0.9944180770305164,-0.07202872084546875
120.0,0.9999473382499345,-0.00017214134425933098,0.9887308744202183,-0.07915568765039055,0.9887308543737874,-0.0791556804500195
121.0,0.9999307120894659,-0.00018223191257042825,0.9829658610942409,-0.08636671686700008,0.9829658402226048,-0.08636670905647557
122.0,0.9999183390499045,-0.00019011614438637462,0.9853697869321213,-0.09062057920776181,0.9853697653996507,-0.09062057102472194
123.0,0.9999130227232608,-0.00019319504980163188,0.9835533208414581,-0.09285760840200402,0.9835532990489765,-0.09285760002411693
124.0,0.999915130096827,-0.00019196826554423055,0.9842728505500771,-0.09196928632185025,0.9842728288617526,-0.09196927802195914
125.0,0.9999223516751472,-0.0001877288871879137,0.986762894049711,-0.08889916543073166,0.9867628727152463,-0.08889915739368842
126.0,0.9999305487982645,-0.00018285249056130884,0.9895891372650427,-0.0854129256203763,0.9895891163334251,-0.08541291788170088
127.0,0.9999357154963668,-0.00017973402273226615,0.9913574903284111,-0.08319298341479217,0.9913574696508736,-0.08319297586267288
128.0,0.9999354605943688,-0.0001798858818443023,0.9912675090115386,-0.08329941787346112,0.9912674883223612,-0.08329941031293765
129.0,0.999929744032779,-0.0001833351687349535,0.9892884374728819,-0.08575078018136718,0.9892884165022763,-0.08575077241262719
130.0,0.999921010164167,-0.00018852943437842027,0.9862926486908958,-0.08947077426399039,0.9862926272906114,-0.08947076617728028
131.0,0.9999132183608851,-0.00019308544293931244,0.983604471704197,-0.09278176519653747,0.9836044499227181,-0.09278175682585432
132.0,0.9999105474576194,-0.00019464462364028566,0.9826987047507625,-0.09391535297909522,0.9826986828368682,-0.09391534451081317
133.0,0.999915291239409,-0.000191886617872697,0.9843319544679072,-0.09190955566086872,0.9843319327874748,-0.09190954736731204
134.0,0.9999272852891113,-0.00018479734263859526,0.9884597290913488,-0.08681396893857173,0.9884597079988127,-0.08681396108111912
