time_seconds,pv_output_kw,ess_output_kw,soc
181.0,599.9999999999995,20,0.9349714368149105
182.0,664.00494839263,20,0.9249714368149105
183.0,705.501236170403,20,0.9149714368149104
184.0,710.5565013482628,20,0.9049714368149104
185.0,679.1153573830376,20,0.8949714368149104
186.0,625.0000000000014,20,0.8849714368149104
187.0,570.6107373853772,-11.110969647587066,0.890526921638704
188.0,538.3508786884274,-14.317302965047185,0.8976855731212275
189.0,542.0515896443546,-13.43707335250377,0.9044041097974794
190.0,581.6723244894999,20,0.8944041097974794
191.0,643.3012701892222,20,0.8844041097974794
192.0,704.4557981113767,20,0.8744041097974794
193.0,742.6584774442729,20,0.8644041097974794
194.0,744.0130316662056,20,0.8544041097974794
195.0,708.504619997662,20,0.8444041097974794
196.0,650.0000000000008,-19.32989242937544,0.8540690560121671
197.0,590.9475695391678,-16.158436876068993,0.8621482744502016
198.0,553.8017284071753,-22.473684609818356,0.8733851167551108
199.0,552.4471741852424,-25.45624998290874,0.8861132417465651
200.0,586.8987476528832,-23.707102118702306,0.8979667928059163
201.0,643.3012701892214,-19.033282513384986,0.9074834340626088
202.0,699.2293749479945,-13.803812592438902,0.9143853403588282
203.0,732.2628929033853,-10.43714254948247,0.9196039116335695
204.0,728.5621819474586,-10.416860663103211,0.9248123419651211
205.0,688.1677878438726,-13.72482559871746,0.9316747547644798
206.0,625.0000000000016,-18.754558508367936,0.9410520340186638
207.0,561.5583069245439,-23.078676686544064,0.9525913723619358
208.0,520.3451980892324,0.0,0.9525913723619358
209.0,515.2899329113724,0.0,0.9525913723619358
210.0,546.4478979341352,0.0,0.9525913723619358
211.0,600.0000000000002,20,0.9425913723619358
212.0,653.5521020658651,20,0.9325913723619358
213.0,684.7100670886276,20,0.9225913723619358
214.0,679.6548019107684,20,0.9125913723619358
215.0,638.4416930754584,20,0.9025913723619358
216.0,575.000000000001,20,0.8925913723619358
217.0,511.8322121561295,20,0.8825913723619357
218.0,471.43781805254196,-10.536015985905589,0.8878593803548885
219.0,467.73710709661424,-10.462253639309083,0.8930905071745431
220.0,500.77062505200576,20,0.8830905071745431
